jurisdiction,weekEndingDate,totalConfC19NewAdm,totalConfFluNewAdm,totalConfRSVNewAdm,totalConfC19NewAdmPer100k,totalConfFluNewAdmPer100k,totalConfRSVNewAdmPer100k,totalConfC19NewAdmPer100kLevel,totalConfFluNewAdmPer100kLevel,totalConfRSVNewAdmPer100kLevel
CA,2026-04-18,139,186,168,0.36,0.48,0.43,Very Low,Very Low,Very Low
GA,2026-04-18,43,35,41,0.39,0.32,0.37,Very Low,Very Low,Very Low
NV,2026-04-18,6,20,6,0.19,0.63,0.19,Very Low,Very Low,Very Low
NY,2026-04-18,154,116,210,0.79,0.59,1.07,Very Low,Very Low,Low
OH,2026-04-18,14,27,63,0.12,0.23,0.53,Very Low,Very Low,Very Low
MI,2026-04-18,53,50,152,0.53,0.50,1.51,Very Low,Very Low,Low
VI,2026-04-18,0,0,0,0.00,0.00,0.00,Very Low,Very Low,Very Low
DC,2026-04-18,5,4,0,0.74,0.59,0.00,Very Low,Very Low,Very Low
MN,2026-04-18,19,23,44,0.33,0.40,0.77,Very Low,Very Low,Low
MT,2026-04-18,5,5,19,0.44,0.44,1.68,Very Low,Very Low,Low
PR,2026-04-18,17,84,18,0.52,2.56,0.55,Very Low,Low,Very Low
DE,2026-04-18,5,2,5,0.49,0.19,0.49,Very Low,Very Low,Very Low
MS,2026-04-18,21,14,12,0.72,0.48,0.41,Very Low,Very Low,Very Low
NJ,2026-04-18,49,29,39,0.53,0.31,0.42,Very Low,Very Low,Very Low
VA,2026-04-18,31,13,12,0.36,0.15,0.14,Very Low,Very Low,Very Low
CT,2026-04-18,16,34,30,0.44,0.94,0.83,Very Low,Very Low,Low
GU,2026-04-18,,,,,,,Data Unavailable,Data Unavailable,Data Unavailable
ID,2026-04-18,8,7,23,0.41,0.36,1.17,Very Low,Very Low,Low
MO,2026-04-18,22,22,40,0.36,0.36,0.65,Very Low,Very Low,Very Low
OK,2026-04-18,4,7,9,0.10,0.17,0.22,Very Low,Very Low,Very Low
KS,2026-04-25,1,8,17,0.03,0.27,0.58,Very Low,Very Low,Very Low
WI,2026-04-25,15,24,68,0.25,0.41,1.15,Very Low,Very Low,Low
HI,2026-04-25,3,16,10,0.22,1.15,0.72,Very Low,Low,Low
KY,2026-04-25,28,24,53,0.62,0.53,1.18,Very Low,Very Low,Low
MD,2026-04-25,20,11,15,0.33,0.18,0.24,Very Low,Very Low,Very Low
NE,2026-04-25,7,11,37,0.35,0.56,1.88,Very Low,Very Low,Low
WA,2026-04-25,21,39,28,0.27,0.50,0.36,Very Low,Very Low,Very Low
IL,2026-04-25,67,76,99,0.53,0.61,0.79,Very Low,Very Low,Low
SC,2026-04-25,38,13,25,0.71,0.24,0.47,Very Low,Very Low,Very Low
AS,2026-04-25,,,,,,,Data Unavailable,Data Unavailable,Data Unavailable
IN,2026-04-25,23,19,65,0.34,0.28,0.95,Very Low,Very Low,Low
ND,2026-04-25,3,3,18,0.39,0.39,2.32,Very Low,Very Low,Low
OR,2026-04-25,5,10,25,0.12,0.24,0.59,Very Low,Very Low,Low
PA,2026-04-25,97,191,106,0.75,1.47,0.82,Very Low,Low,Low
MP,2026-04-25,,,,,,,Data Unavailable,Data Unavailable,Data Unavailable
AZ,2026-04-25,25,69,50,0.34,0.93,0.67,Very Low,Very Low,Low
